AccountDate,OrganizationName,DepartmentGroupName,ScenarioName,AccountCode,Amount,Date
2013-02-28,Northeast Division,Corporate,Actual,3020,7844752.9,00:00.0
2013-03-30,Northeast Division,Corporate,Actual,3020,7543663.4,00:00.0
2013-04-30,Northeast Division,Corporate,Actual,3020,6914085.77,00:00.0
2013-01-28,Northeast Division,Corporate,Actual,3020,6598267.63,00:00.0
2013-05-30,Northeast Division,Corporate,Actual,3020,6492509.51,00:00.0
2012-02-29,Northeast Division,Corporate,Actual,3020,6253837.04,00:00.0
2013-11-29,Northeast Division,Corporate,Actual,3020,6228937.84,00:00.0
2012-03-30,Northeast Division,Corporate,Actual,3020,6038676.89,00:00.0
2013-06-30,Northeast Division,Corporate,Actual,3020,5892044.4,00:00.0
2013-10-29,Northeast Division,Corporate,Actual,3020,5775877.29,00:00.0
2012-12-28,Northeast Division,Corporate,Actual,3020,5495279.81,00:00.0
2013-07-31,Northeast Division,Corporate,Actual,3020,5394558.68,00:00.0
2013-09-29,Northeast Division,Corporate,Actual,3020,5309247.34,00:00.0
2012-04-30,Northeast Division,Corporate,Actual,3020,5283254.02,00:00.0
2012-01-29,Northeast Division,Corporate,Actual,3020,5258638.54,00:00.0
2013-08-29,Northeast Division,Corporate,Actual,3020,5094234.56,00:00.0
2012-05-30,Northeast Division,Corporate,Actual,3020,5012638.23,00:00.0
2013-01-28,Southeast Division,Corporate,Actual,3020,4820988,00:00.0
2012-11-28,Northeast Division,Corporate,Actual,3020,4642260.86,00:00.0
2012-06-30,Northeast Division,Corporate,Actual,3020,4631759.04,00:00.0
2011-12-29,Northeast Division,Corporate,Actual,3020,4623513.5,00:00.0
2012-10-28,Northeast Division,Corporate,Actual,3020,4509524.48,00:00.0
2012-01-29,Southeast Division,Corporate,Actual,3020,4137561,00:00.0
2013-02-28,Southeast Division,Corporate,Actual,3020,4005897,00:00.0
2013-04-30,Southeast Division,Corporate,Actual,3020,3996551,00:00.0
2012-07-31,Northeast Division,Corporate,Actual,3020,3993112.2,00:00.0
2012-09-28,Northeast Division,Corporate,Actual,3020,3941552.58,00:00.0
2013-10-29,Southeast Division,Corporate,Actual,3020,3742422,00:00.0
2013-11-29,Southeast Division,Corporate,Actual,3020,3705947,00:00.0
2012-08-28,Northeast Division,Corporate,Actual,3020,3638421.94,00:00.0
2012-10-28,Southeast Division,Corporate,Actual,3020,3556996,00:00.0
2011-05-01,Southeast Division,Corporate,Actual,3020,3479464,00:00.0
2011-07-01,Northeast Division,Corporate,Actual,3020,3470453.67,00:00.0
2012-04-30,Southeast Division,Corporate,Actual,3020,3469146,00:00.0
2011-05-31,Northeast Division,Corporate,Actual,3020,3411445.26,00:00.0
2011-10-29,Northeast Division,Corporate,Actual,3020,3389331.21,00:00.0
2011-11-29,Northeast Division,Corporate,Actual,3020,3300941.75,00:00.0
2012-02-29,Southeast Division,Corporate,Actual,3020,3285908,00:00.0
2013-05-30,Southeast Division,Corporate,Actual,3020,3264577,00:00.0
2011-05-01,Northeast Division,Corporate,Actual,3020,3087016.9,00:00.0
2011-09-29,Northeast Division,Corporate,Actual,3020,3083378.07,00:00.0
2011-08-01,Northeast Division,Corporate,Actual,3020,3054832.81,00:00.0
2011-08-29,Northeast Division,Corporate,Actual,3020,2945016.12,00:00.0
2013-02-28,Canadian Division,Corporate,Actual,3020,2865376.59,00:00.0
2013-08-29,Southeast Division,Corporate,Actual,3020,2812053,00:00.0
2011-10-29,Southeast Division,Corporate,Actual,3020,2804602,00:00.0
2013-01-28,Southeast Division,Corporate,Actual,1162,2796203,00:00.0
2013-07-31,Southeast Division,Corporate,Actual,3020,2791099,00:00.0
2012-02-29,Southwest Division,Corporate,Actual,3020,2774054,00:00.0
2013-11-29,Canadian Division,Corporate,Actual,3550,2748488.73,00:00.0
2012-12-28,Southeast Division,Corporate,Actual,3020,2692190,00:00.0
2012-01-29,Canadian Division,Corporate,Actual,3020,2683829.48,00:00.0
2012-11-28,Canadian Division,Corporate,Actual,3550,2682942.45,00:00.0
2012-12-28,Canadian Division,Corporate,Actual,3540,2682942.45,00:00.0
2011-03-31,Northeast Division,Corporate,Actual,3020,2672083.14,00:00.0
2012-07-31,Southeast Division,Corporate,Actual,3020,2634545,00:00.0
2012-02-29,Canadian Division,Corporate,Actual,3020,2581954.36,00:00.0
2012-05-30,Southeast Division,Corporate,Actual,3020,2542054,00:00.0
2013-11-29,Southwest Division,Corporate,Actual,3550,2515903,00:00.0
2011-08-01,Southeast Division,Corporate,Actual,3020,2510717,00:00.0
2012-10-28,Canadian Division,Corporate,Actual,3550,2495659.61,00:00.0
2013-01-28,Canadian Division,Corporate,Actual,3020,2490618.66,00:00.0
2013-10-29,Canadian Division,Corporate,Actual,3550,2429008.01,00:00.0
2012-11-28,Southeast Division,Corporate,Actual,3020,2374104,00:00.0
2013-10-29,Southwest Division,Corporate,Actual,3550,2371138,00:00.0
2013-09-29,Canadian Division,Corporate,Actual,3550,2364248.71,00:00.0
2013-03-30,Southeast Division,Corporate,Actual,3020,2331636,00:00.0
2013-09-29,Southeast Division,Corporate,Actual,3020,2331011,00:00.0
2013-02-28,Southeast Division,Corporate,Actual,1162,2322615,00:00.0
2013-04-30,Southeast Division,Corporate,Actual,1162,2306269,00:00.0
2012-09-28,Southeast Division,Corporate,Actual,3020,2297779,00:00.0
2011-03-01,Northeast Division,Corporate,Actual,3020,2287121.82,00:00.0
2012-09-28,Canadian Division,Corporate,Actual,3550,2286023.77,00:00.0
2011-05-31,Southeast Division,Corporate,Actual,3020,2275094,00:00.0
2011-01-29,Northeast Division,Corporate,Actual,3020,2245549.58,00:00.0
2012-01-29,Southeast Division,Corporate,Actual,1162,2233805,00:00.0
2013-08-29,Canadian Division,Corporate,Actual,3550,2203428.48,00:00.0
2012-03-30,Southeast Division,Corporate,Actual,3020,2152505,00:00.0
2012-11-28,Southwest Division,Corporate,Actual,3550,2127483,00:00.0
2012-12-28,Southwest Division,Corporate,Actual,3540,2127483,00:00.0
2013-01-28,Southwest Division,Corporate,Actual,3020,2127159,00:00.0
2012-01-29,Southwest Division,Corporate,Actual,3020,2105340,00:00.0
2013-09-29,Southwest Division,Corporate,Actual,3550,2076048,00:00.0
2013-07-31,Canadian Division,Corporate,Actual,3550,2018750.24,00:00.0
2011-12-29,Canadian Division,Corporate,Actual,1110,2012421.91,00:00.0
2013-11-29,Southeast Division,Corporate,Actual,1162,2007586,00:00.0
2012-04-30,Southeast Division,Corporate,Actual,1162,2003586,00:00.0
2012-08-28,Canadian Division,Corporate,Actual,3550,1983260.05,00:00.0
2013-10-29,Southeast Division,Corporate,Actual,1162,1969652,00:00.0
2013-06-30,Canadian Division,Corporate,Actual,3550,1969518.92,00:00.0
2013-05-30,Southeast Division,Corporate,Actual,1162,1964299,00:00.0
2013-05-30,Canadian Division,Corporate,Actual,3550,1963484.98,00:00.0
2013-05-30,Canadian Division,Corporate,Actual,1110,1939712.98,00:00.0
2013-01-28,Southeast Division,Corporate,Actual,1164,1934480,00:00.0
2011-12-29,Southwest Division,Corporate,Actual,3540,1924457,00:00.0
2012-10-28,Southwest Division,Corporate,Actual,3550,1923179,00:00.0
2012-08-28,Southeast Division,Corporate,Actual,3020,1890986,00:00.0
2013-08-29,Southwest Division,Corporate,Actual,3550,1888929,00:00.0
2012-02-29,Southeast Division,Corporate,Actual,1162,1886930,00:00.0
2012-03-30,Canadian Division,Corporate,Actual,3020,1882468.06,00:00.0
2012-10-28,Southeast Division,Corporate,Actual,1162,1839928,00:00.0
2013-02-28,Canadian Division,Corporate,Actual,1130,1839380.81,00:00.0
2012-04-30,Canadian Division,Corporate,Actual,3020,1839123.25,00:00.0
2013-07-31,Southwest Division,Corporate,Actual,3550,1819050,00:00.0
2012-07-31,Canadian Division,Corporate,Actual,3550,1791924.56,00:00.0
2012-02-29,Canadian Division,Corporate,Actual,1130,1781857.01,00:00.0
2013-05-30,Canadian Division,Corporate,Actual,3020,1778354.64,00:00.0
2013-03-30,Canadian Division,Corporate,Actual,3020,1776826.92,00:00.0
2013-02-28,Canadian Division,Corporate,Actual,1110,1768152.21,00:00.0
2013-06-30,Southeast Division,Corporate,Actual,3020,1762722,00:00.0
2012-06-30,Canadian Division,Corporate,Actual,3550,1747032.26,00:00.0
2013-01-28,France,Corporate,Actual,3020,1743836.71,00:00.0
2012-12-28,Southeast Division,Corporate,Actual,1162,1737676,00:00.0
2012-05-30,Canadian Division,Corporate,Actual,3550,1736031.96,00:00.0
2011-01-29,Southeast Division,Corporate,Actual,3020,1703142,00:00.0
2013-08-29,Southeast Division,Corporate,Actual,1162,1692987,00:00.0
2012-06-30,Southeast Division,Corporate,Actual,3020,1686925,00:00.0
2012-02-29,Southwest Division,Corporate,Actual,1110,1679409,00:00.0
2012-03-30,Canadian Division,Corporate,Actual,1130,1668906.42,00:00.0
2013-02-28,Southwest Division,Corporate,Actual,3020,1645216,00:00.0
2012-01-29,Canadian Division,Corporate,Actual,1110,1633840.62,00:00.0
2013-03-30,Canadian Division,Corporate,Actual,1130,1633045.15,00:00.0
2012-04-30,Southwest Division,Corporate,Actual,3020,1617681,00:00.0
2011-12-29,Southeast Division,Corporate,Actual,3020,1615814.3,00:00.0
2012-04-30,Canadian Division,Corporate,Actual,1110,1611862.93,00:00.0
2011-08-29,Southeast Division,Corporate,Actual,3020,1591582,00:00.0
2011-03-01,Southeast Division,Corporate,Actual,3020,1573502,00:00.0
2013-06-30,Southwest Division,Corporate,Actual,3550,1573283,00:00.0
2012-10-28,Southwest Division,Corporate,Actual,1110,1565748,00:00.0
2013-02-28,Southeast Division,Corporate,Actual,1164,1565426,00:00.0
2012-08-28,Southwest Division,Corporate,Actual,3550,1543051,00:00.0
2013-05-30,Canadian Division,Corporate,Actual,1130,1528823.51,00:00.0
2013-01-28,Canadian Division,Corporate,Actual,1130,1515692.96,00:00.0
2012-12-28,Canadian Division,Corporate,Actual,1110,1512161.08,00:00.0
2013-07-31,Southeast Division,Corporate,Actual,1162,1508328,00:00.0
2012-07-31,Southwest Division,Corporate,Actual,3550,1495689,00:00.0
2013-04-30,Southeast Division,Corporate,Actual,1164,1495580,00:00.0
2011-05-01,Southeast Division,Corporate,Actual,1162,1495532,00:00.0
2012-04-30,Canadian Division,Corporate,Actual,3550,1492579.95,00:00.0
2012-09-28,Southwest Division,Corporate,Actual,3550,1482864,00:00.0
2011-11-29,Southeast Division,Corporate,Actual,3020,1481842,00:00.0
2011-10-29,Southwest Division,Corporate,Actual,3550,1479759,00:00.0
2013-10-29,Southeast Division,Corporate,Actual,1164,1473889,00:00.0
2012-01-29,Canadian Division,Corporate,Actual,1130,1470563.33,00:00.0
2011-12-29,Canadian Division,Corporate,Actual,3020,1468431.42,00:00.0
2013-04-30,Canadian Division,Corporate,Actual,1130,1461178.31,00:00.0
2012-02-29,Canadian Division,Corporate,Actual,1110,1458713.11,00:00.0
2012-11-28,Central Division,Corporate,Actual,3550,1455599,00:00.0
2012-12-28,Central Division,Corporate,Actual,3540,1455599,00:00.0
2013-02-28,Australia,Corporate,Actual,3020,1454896.71,00:00.0
2011-11-29,Southwest Division,Corporate,Actual,3550,1446837,00:00.0
2011-12-29,Southeast Division,Corporate,Actual,1162,1435923,00:00.0
2012-05-30,Southeast Division,Corporate,Actual,1162,1434725,00:00.0
2011-10-29,Southeast Division,Corporate,Actual,1162,1432012,00:00.0
2013-11-29,Canadian Division,Corporate,Actual,1110,1428714.07,00:00.0
2013-05-30,Southwest Division,Corporate,Actual,3550,1428007,00:00.0
2013-01-28,Canadian Division,Corporate,Actual,1110,1426904.94,00:00.0
2012-05-30,Canadian Division,Corporate,Actual,3020,1423090.74,00:00.0
2012-05-30,Canadian Division,Corporate,Actual,1130,1420053.3,00:00.0
2012-04-30,Canadian Division,Corporate,Actual,1130,1412574.37,00:00.0
2013-04-30,France,Corporate,Actual,3020,1411368.6,00:00.0
2012-04-30,Southwest Division,Corporate,Actual,1110,1406941,00:00.0
2012-02-29,Southwest Division,Corporate,Actual,1130,1398107,00:00.0
2013-11-29,Southeast Division,Corporate,Actual,1164,1393582,00:00.0
2011-05-01,Canadian Division,Corporate,Actual,3020,1390055.14,00:00.0
2012-01-29,Southeast Division,Corporate,Actual,1164,1387003,00:00.0
2013-04-30,Canadian Division,Corporate,Actual,3550,1386496.43,00:00.0
2012-05-30,Canadian Division,Corporate,Actual,1110,1382038.95,00:00.0
2012-12-28,Southwest Division,Corporate,Actual,1130,1374748,00:00.0
2012-10-28,Central Division,Corporate,Actual,3550,1366029,00:00.0
2012-12-28,Canadian Division,Corporate,Actual,1130,1363385.58,00:00.0
2012-07-31,Southeast Division,Corporate,Actual,1162,1362743,00:00.0
2013-01-28,Southwest Division,Corporate,Actual,1110,1361757,00:00.0
2013-08-29,Canadian Division,Corporate,Actual,1110,1361734.03,00:00.0
2012-01-29,Southwest Division,Corporate,Actual,1110,1359461,00:00.0
2011-12-29,Canadian Division,Corporate,Actual,3540,1342443.22,00:00.0
2011-03-31,Southeast Division,Corporate,Actual,3020,1334567,00:00.0
2013-05-30,Southeast Division,Corporate,Actual,1164,1323613,00:00.0
2013-04-30,Southwest Division,Corporate,Actual,1110,1323225,00:00.0
2012-10-28,Canadian Division,Corporate,Actual,1130,1322198.44,00:00.0
2013-11-29,Canadian Division,Corporate,Actual,1130,1317690.79,00:00.0
2013-03-30,Southeast Division,Corporate,Actual,1162,1308707,00:00.0
2013-02-28,Canadian Division,Corporate,Actual,4200,1308099.7,00:00.0
2013-05-30,Canadian Division,Corporate,Actual,4200,1296752.52,00:00.0
2011-08-29,Southwest Division,Corporate,Actual,3550,1294677,00:00.0
2012-12-28,Southwest Division,Corporate,Actual,1110,1290358,00:00.0
2013-09-29,Southeast Division,Corporate,Actual,1162,1289157,00:00.0
2011-10-29,Canadian Division,Corporate,Actual,3550,1287420.32,00:00.0
2013-04-30,Southwest Division,Corporate,Actual,3020,1286815,00:00.0
2013-02-28,Southwest Division,Corporate,Actual,1130,1286523,00:00.0
2013-06-30,Canadian Division,Corporate,Actual,1130,1285259.88,00:00.0
2012-07-31,Southwest Division,Corporate,Actual,1110,1285068,00:00.0
2011-12-29,Canadian Division,Corporate,Actual,1130,1280226.45,00:00.0
2013-04-30,Southwest Division,Corporate,Actual,3550,1275219,00:00.0
2012-10-28,Southeast Division,Corporate,Actual,1164,1272906,00:00.0
2012-03-30,Southwest Division,Corporate,Actual,1130,1267852,00:00.0
2013-04-30,France,Corporate,Actual,1110,1263943.46,00:00.0
2012-05-30,Southwest Division,Corporate,Actual,3550,1260090,00:00.0
2013-04-30,Canadian Division,Corporate,Actual,3020,1253922.69,00:00.0
2013-01-28,France,Corporate,Actual,1110,1252466.65,00:00.0
2011-09-29,Southwest Division,Corporate,Actual,3550,1237234,00:00.0
2013-01-28,Southwest Division,Corporate,Actual,1130,1237031,00:00.0
